"Basket_Size","Gender","Age","Occupation","City_Category","Stay_In_Current_City_Years","Marital_Status","Purchase","Label"
"30","M","26-35","11","B","1","0","(1.39e+03,1.05e+05]","1"
"50","M","26-35","0","B","1","0","(1.39e+03,1.05e+05]","2"
"21","M","36-45","1","C","0","0","(1.39e+03,1.05e+05]","1"
"165","M","51-55","7","C","1","1","(1.39e+03,1.05e+05]","3"
"192","M","36-45","7","B","4+","1","(1.39e+03,1.05e+05]","3"
"111","M","26-35","16","C","1","1","(1.39e+03,1.05e+05]","2"
"85","F","36-45","20","B","1","0","(1.39e+03,1.05e+05]","2"
"79","M","36-45","1","C","3","0","(1.39e+03,1.05e+05]","2"
"11","F","18-25","5","B","2","0","(966,1.07e+03]","1"
"130","M","26-35","12","B","1","1","(1.39e+03,1.05e+05]","2"
"103","M","36-45","13","C","0","0","(1.39e+03,1.05e+05]","2"
"303","M","26-35","0","A","1","0","(1.39e+03,1.05e+05]","3"
"228","M","36-45","7","B","1","1","(1.39e+03,1.05e+05]","3"
"102","M","26-35","12","C","2","0","(1.39e+03,1.05e+05]","2"
"64","F","26-35","7","C","2","1","(1.39e+03,1.05e+05]","2"
"41","F","26-35","0","C","4+","1","(1.39e+03,1.05e+05]","2"
"19","M","26-35","11","B","1","1","(1.39e+03,1.05e+05]","1"
"557","F","18-25","0","B","1","0","(1.39e+03,1.05e+05]","3"
"99","F","36-45","3","A","4+","0","(1.39e+03,1.05e+05]","2"
"147","M","46-50","1","A","2","1","(1.39e+03,1.05e+05]","2"
"79","M","26-35","11","B","1","1","(1.39e+03,1.05e+05]","2"
"200","F","36-45","9","B","3","0","(1.39e+03,1.05e+05]","3"
"16","M","26-35","11","B","1","1","(1.39e+03,1.05e+05]","1"
"315","M","26-35","0","B","1","0","(1.39e+03,1.05e+05]","3"
"12","M","26-35","17","C","1","0","(861,966]","1"
"434","M","18-25","20","A","1","0","(1.39e+03,1.05e+05]","3"
"35","M","36-45","0","B","1","1","(1.39e+03,1.05e+05]","2"
"13","F","46-50","7","B","1","1","(861,966]","1"
"140","M","26-35","0","C","0","1","(1.39e+03,1.05e+05]","2"
"125","M","26-35","12","C","3","0","(1.39e+03,1.05e+05]","2"
"47","M","51-55","0","C","4+","1","(1.39e+03,1.05e+05]","2"
"20","M","51-55","3","C","1","1","(1.39e+03,1.05e+05]","1"
"23","M","26-35","20","B","1","0","(1.39e+03,1.05e+05]","2"
"10","M","26-35","4","C","1","0","(651,756]","1"
"15","M","18-25","4","B","0","0","(1.28e+03,1.39e+03]","1"
"46","M","51-55","15","C","2","0","(1.39e+03,1.05e+05]","2"
"197","M","26-35","0","B","1","1","(1.39e+03,1.05e+05]","3"
"28","M","46-50","0","C","0","1","(1.39e+03,1.05e+05]","1"
"158","M","18-25","4","B","0","1","(1.39e+03,1.05e+05]","2"
"27","M","18-25","17","A","3","1","(1.39e+03,1.05e+05]","1"
"249","M","18-25","20","B","1","0","(1.39e+03,1.05e+05]","3"
"27","M","18-25","4","B","1","1","(1.39e+03,1.05e+05]","2"
"67","M","46-50","17","C","1","0","(1.39e+03,1.05e+05]","2"
"148","F","51-55","0","C","4+","0","(1.39e+03,1.05e+05]","2"
"438","M","26-35","16","B","1","0","(1.39e+03,1.05e+05]","3"
"21","F","46-50","7","B","2","1","(1.39e+03,1.05e+05]","1"
"55","F","55+","0","C","4+","0","(1.39e+03,1.05e+05]","2"
"426","M","26-35","0","B","1","0","(1.39e+03,1.05e+05]","3"
"89","F","26-35","19","C","0","0","(1.39e+03,1.05e+05]","2"
"50","M","55+","0","B","2","1","(1.39e+03,1.05e+05]","2"
"24","F","18-25","17","B","3","0","(1.39e+03,1.05e+05]","1"
"304","M","26-35","17","B","1","0","(1.39e+03,1.05e+05]","3"
"84","M","36-45","17","C","1","0","(1.39e+03,1.05e+05]","2"
"118","M","26-35","0","C","4+","0","(1.39e+03,1.05e+05]","2"
"50","M","51-55","13","C","1","0","(1.39e+03,1.05e+05]","2"
"130","M","46-50","2","C","4+","0","(1.39e+03,1.05e+05]","3"
"28","M","18-25","12","A","2","0","(1.39e+03,1.05e+05]","1"
"303","F","18-25","9","B","1","1","(1.39e+03,1.05e+05]","3"
"33","M","26-35","20","B","1","1","(1.39e+03,1.05e+05]","1"
"492","M","18-25","18","B","0","0","(1.39e+03,1.05e+05]","3"
"91","M","51-55","14","B","3","1","(1.39e+03,1.05e+05]","2"
"33","M","18-25","19","C","2","1","(1.39e+03,1.05e+05]","2"
"119","M","26-35","19","C","1","0","(1.39e+03,1.05e+05]","2"
"18","M","26-35","12","C","1","0","(1.39e+03,1.05e+05]","1"
"15","M","26-35","16","C","1","0","(1.18e+03,1.28e+03]","1"
"10","M","18-25","0","A","4+","0","(861,966]","1"
"25","F","46-50","0","A","0","1","(1.39e+03,1.05e+05]","2"
"94","M","18-25","4","C","2","1","(1.39e+03,1.05e+05]","2"
"15","M","26-35","17","B","3","0","(1.39e+03,1.05e+05]","1"
"25","F","46-50","0","B","1","1","(1.39e+03,1.05e+05]","1"
"212","F","36-45","6","B","2","0","(1.39e+03,1.05e+05]","3"
"30","F","18-25","9","C","4+","1","(1.39e+03,1.05e+05]","1"
"27","F","26-35","2","C","2","1","(1.39e+03,1.05e+05]","1"
"19","M","36-45","7","B","0","1","(1.39e+03,1.05e+05]","1"
"10","M","26-35","12","B","1","1","(1.07e+03,1.18e+03]","1"
"25","M","18-25","4","C","2","1","(1.39e+03,1.05e+05]","1"
"37","M","46-50","17","B","2","0","(1.39e+03,1.05e+05]","2"
"222","M","26-35","14","B","3","0","(1.39e+03,1.05e+05]","3"
"281","M","51-55","16","B","4+","0","(1.39e+03,1.05e+05]","3"
"18","M","36-45","2","C","2","1","(1.39e+03,1.05e+05]","1"
"17","F","26-35","17","B","1","1","(1.07e+03,1.18e+03]","1"
"28","F","55+","13","C","1","1","(1.39e+03,1.05e+05]","1"
"361","M","36-45","0","B","2","0","(1.39e+03,1.05e+05]","3"
"26","M","26-35","17","C","1","0","(1.39e+03,1.05e+05]","2"
"43","M","0-17","10","C","1","0","(1.39e+03,1.05e+05]","2"
"15","M","36-45","2","C","3","0","(861,966]","1"
"318","F","26-35","6","B","1","1","(1.39e+03,1.05e+05]","3"
"470","M","18-25","4","B","4+","0","(1.39e+03,1.05e+05]","3"
"20","M","18-25","14","C","2","0","(1.39e+03,1.05e+05]","1"
"71","F","18-25","17","C","1","0","(1.39e+03,1.05e+05]","2"
"48","M","26-35","12","B","4+","1","(1.39e+03,1.05e+05]","2"
"1025","M","26-35","20","A","3","1","(1.39e+03,1.05e+05]","3"
"70","M","18-25","4","A","1","0","(1.39e+03,1.05e+05]","2"
"15","M","26-35","2","A","3","1","(1.39e+03,1.05e+05]","1"
"97","F","26-35","7","C","3","0","(1.39e+03,1.05e+05]","2"
"39","M","18-25","3","B","2","0","(1.39e+03,1.05e+05]","2"
"235","M","36-45","12","B","1","0","(1.39e+03,1.05e+05]","3"
"19","M","36-45","12","B","1","0","(1.39e+03,1.05e+05]","1"
"218","M","26-35","3","A","1","0","(1.39e+03,1.05e+05]","3"
"81","F","18-25","4","C","4+","0","(1.39e+03,1.05e+05]","2"
"32","F","26-35","17","C","2","1","(1.39e+03,1.05e+05]","2"
"117","M","36-45","20","A","4+","1","(1.39e+03,1.05e+05]","2"
"173","M","26-35","12","C","1","1","(1.39e+03,1.05e+05]","3"
"220","M","26-35","12","B","3","1","(1.39e+03,1.05e+05]","3"
"102","M","26-35","1","C","1","1","(1.39e+03,1.05e+05]","2"
"179","M","36-45","7","C","1","0","(1.39e+03,1.05e+05]","3"
"203","F","18-25","4","B","3","0","(1.39e+03,1.05e+05]","3"
"193","F","26-35","19","A","0","0","(1.39e+03,1.05e+05]","3"
"26","M","26-35","20","B","4+","0","(1.39e+03,1.05e+05]","1"
"319","F","26-35","4","B","1","0","(1.39e+03,1.05e+05]","3"
"43","M","18-25","10","C","2","0","(1.39e+03,1.05e+05]","2"
"16","M","18-25","15","C","2","0","(1.39e+03,1.05e+05]","1"
"18","M","26-35","4","C","4+","0","(1.39e+03,1.05e+05]","1"
"39","F","18-25","4","C","2","0","(1.39e+03,1.05e+05]","1"
"124","M","26-35","20","B","1","1","(1.39e+03,1.05e+05]","2"
"48","M","51-55","1","C","0","1","(1.39e+03,1.05e+05]","2"
"14","M","26-35","0","C","4+","0","(1.39e+03,1.05e+05]","1"
"119","M","26-35","0","C","1","1","(1.39e+03,1.05e+05]","2"
"45","M","18-25","0","A","3","0","(1.39e+03,1.05e+05]","2"
"13","F","18-25","4","C","3","0","(861,966]","1"
"274","M","26-35","0","B","4+","0","(1.39e+03,1.05e+05]","3"
"15","M","26-35","0","C","3","0","(1.28e+03,1.39e+03]","1"
"151","M","26-35","17","C","0","1","(1.39e+03,1.05e+05]","2"
"24","M","26-35","16","C","2","1","(1.39e+03,1.05e+05]","1"
"109","M","26-35","0","B","0","0","(1.39e+03,1.05e+05]","2"
"236","F","51-55","6","B","1","0","(1.39e+03,1.05e+05]","3"
"21","M","18-25","4","C","2","1","(1.39e+03,1.05e+05]","1"
"19","M","18-25","16","C","2","1","(1.18e+03,1.28e+03]","1"
"33","M","18-25","4","C","1","1","(1.39e+03,1.05e+05]","2"
"61","M","18-25","19","C","3","0","(1.39e+03,1.05e+05]","1"
"114","M","36-45","0","C","4+","0","(1.39e+03,1.05e+05]","2"
"83","M","36-45","17","C","0","1","(1.39e+03,1.05e+05]","2"
"105","M","18-25","4","C","3","0","(1.39e+03,1.05e+05]","2"
"19","M","18-25","19","C","4+","1","(1.39e+03,1.05e+05]","1"
"218","M","26-35","2","B","1","1","(1.39e+03,1.05e+05]","3"
"288","M","36-45","16","B","2","1","(1.39e+03,1.05e+05]","3"
"21","M","18-25","4","C","2","0","(1.39e+03,1.05e+05]","1"
"27","M","26-35","7","B","0","1","(1.39e+03,1.05e+05]","1"
"9","F","18-25","4","C","1","0","(651,756]","1"
"36","F","18-25","0","C","2","0","(1.39e+03,1.05e+05]","1"
"21","M","18-25","4","C","1","1","(1.39e+03,1.05e+05]","1"
"457","M","18-25","14","B","0","1","(1.39e+03,1.05e+05]","3"
"42","M","46-50","17","B","2","1","(1.39e+03,1.05e+05]","2"
"50","M","18-25","20","B","1","1","(1.39e+03,1.05e+05]","2"
"109","M","55+","8","C","2","1","(1.39e+03,1.05e+05]","2"
"446","M","36-45","20","B","3","0","(1.39e+03,1.05e+05]","3"
"35","M","36-45","16","C","0","0","(1.39e+03,1.05e+05]","2"
"45","M","55+","16","C","1","1","(1.39e+03,1.05e+05]","2"
"36","M","55+","1","C","2","0","(1.39e+03,1.05e+05]","2"
"389","M","36-45","7","A","4+","1","(1.39e+03,1.05e+05]","3"
"24","M","26-35","15","C","4+","1","(1.39e+03,1.05e+05]","1"
"42","M","36-45","17","C","0","0","(1.39e+03,1.05e+05]","2"
"79","M","36-45","12","C","2","0","(1.39e+03,1.05e+05]","2"
"43","M","46-50","0","A","4+","1","(1.39e+03,1.05e+05]","2"
"186","M","26-35","4","C","1","1","(1.39e+03,1.05e+05]","3"
"62","M","26-35","0","C","2","1","(1.39e+03,1.05e+05]","2"
"337","M","51-55","1","A","1","1","(1.39e+03,1.05e+05]","3"
"316","M","26-35","2","B","1","1","(1.39e+03,1.05e+05]","3"
"41","M","51-55","5","B","0","0","(1.39e+03,1.05e+05]","2"
"15","M","36-45","20","C","0","0","(1.39e+03,1.05e+05]","1"
"237","M","26-35","3","B","1","0","(1.39e+03,1.05e+05]","3"
"163","M","36-45","6","B","3","0","(1.39e+03,1.05e+05]","3"
"22","M","18-25","19","C","3","0","(1.39e+03,1.05e+05]","1"
"227","F","18-25","4","B","4+","0","(1.39e+03,1.05e+05]","3"
"33","F","26-35","1","B","2","1","(1.39e+03,1.05e+05]","1"
"230","M","26-35","4","B","4+","0","(1.39e+03,1.05e+05]","3"
"236","F","26-35","0","B","1","0","(1.39e+03,1.05e+05]","3"
"143","M","26-35","16","C","0","1","(1.39e+03,1.05e+05]","2"
"40","F","26-35","3","C","1","1","(1.39e+03,1.05e+05]","1"
"61","M","36-45","0","C","2","0","(1.39e+03,1.05e+05]","2"
"38","M","26-35","14","B","2","1","(1.39e+03,1.05e+05]","2"
"19","M","36-45","7","C","2","0","(1.39e+03,1.05e+05]","1"
"356","M","18-25","0","B","1","0","(1.39e+03,1.05e+05]","3"
"58","M","18-25","4","C","1","0","(1.39e+03,1.05e+05]","2"
"13","F","46-50","0","C","0","1","(1.07e+03,1.18e+03]","1"
"170","M","26-35","20","C","1","0","(1.39e+03,1.05e+05]","3"
"73","M","46-50","16","C","1","1","(1.39e+03,1.05e+05]","2"
"44","M","26-35","17","C","0","1","(1.39e+03,1.05e+05]","1"
"57","M","36-45","16","C","1","0","(1.39e+03,1.05e+05]","2"
"20","M","26-35","17","C","2","1","(1.39e+03,1.05e+05]","1"
"18","M","55+","2","C","1","0","(1.39e+03,1.05e+05]","1"
"33","M","18-25","4","B","1","0","(1.39e+03,1.05e+05]","1"
"24","M","26-35","17","C","4+","0","(1.39e+03,1.05e+05]","1"
"82","M","26-35","4","C","3","1","(1.39e+03,1.05e+05]","2"
"227","M","26-35","0","B","4+","1","(1.39e+03,1.05e+05]","3"
"31","M","26-35","20","C","0","0","(1.39e+03,1.05e+05]","2"
"312","M","18-25","4","B","1","0","(1.39e+03,1.05e+05]","3"
"91","M","18-25","1","C","4+","0","(1.39e+03,1.05e+05]","2"
"341","M","36-45","1","B","0","0","(1.39e+03,1.05e+05]","3"
"58","F","36-45","0","C","2","0","(1.39e+03,1.05e+05]","2"
"19","M","46-50","0","C","1","1","(1.39e+03,1.05e+05]","1"
"25","M","18-25","20","B","1","0","(1.39e+03,1.05e+05]","1"
"27","M","18-25","4","B","2","0","(1.39e+03,1.05e+05]","1"
"31","M","46-50","1","C","4+","1","(1.39e+03,1.05e+05]","1"
"14","M","18-25","8","A","4+","0","(1.07e+03,1.18e+03]","1"
"23","M","46-50","2","A","3","1","(1.39e+03,1.05e+05]","1"
"31","M","0-17","10","C","2","0","(1.39e+03,1.05e+05]","2"
"196","M","26-35","0","C","1","0","(1.39e+03,1.05e+05]","3"
"83","M","18-25","4","C","1","1","(1.39e+03,1.05e+05]","2"
"19","F","26-35","2","C","3","0","(1.39e+03,1.05e+05]","1"
"159","M","26-35","4","B","1","0","(1.39e+03,1.05e+05]","3"
"239","M","26-35","11","B","1","0","(1.39e+03,1.05e+05]","3"
"17","M","18-25","17","C","1","0","(1.39e+03,1.05e+05]","1"
"91","M","51-55","11","C","2","1","(1.39e+03,1.05e+05]","2"
"96","M","36-45","7","C","2","0","(1.39e+03,1.05e+05]","2"
"33","M","46-50","11","C","2","1","(1.39e+03,1.05e+05]","2"
"53","M","36-45","11","B","4+","1","(1.39e+03,1.05e+05]","2"
"13","F","26-35","6","C","0","0","(1.28e+03,1.39e+03]","1"
"119","M","18-25","4","A","3","0","(1.39e+03,1.05e+05]","2"
"148","M","26-35","2","B","1","0","(1.39e+03,1.05e+05]","3"
"63","M","26-35","7","C","4+","1","(1.39e+03,1.05e+05]","2"
"93","M","18-25","4","C","0","0","(1.39e+03,1.05e+05]","2"
"117","M","18-25","4","B","1","0","(1.39e+03,1.05e+05]","2"
"107","M","18-25","17","C","3","0","(1.39e+03,1.05e+05]","2"
"18","F","18-25","4","C","4+","1","(1.39e+03,1.05e+05]","1"
"24","F","26-35","14","C","0","1","(1.39e+03,1.05e+05]","1"
"26","M","51-55","13","A","1","1","(1.39e+03,1.05e+05]","1"
"381","F","26-35","12","A","4+","1","(1.39e+03,1.05e+05]","3"
"9","F","36-45","6","C","3","0","(651,756]","1"
"20","M","0-17","1","C","1","0","(1.39e+03,1.05e+05]","1"
"31","F","36-45","9","C","4+","0","(1.39e+03,1.05e+05]","2"
"73","M","36-45","1","A","3","0","(1.39e+03,1.05e+05]","2"
"29","M","0-17","8","C","4+","0","(1.39e+03,1.05e+05]","2"
"55","F","36-45","12","C","1","1","(1.39e+03,1.05e+05]","2"
"181","M","26-35","20","B","1","1","(1.39e+03,1.05e+05]","3"
"14","M","26-35","20","C","2","0","(1.39e+03,1.05e+05]","1"
"42","F","26-35","0","C","1","1","(1.39e+03,1.05e+05]","2"
"12","F","36-45","1","C","1","0","(756,861]","1"
"97","F","18-25","4","C","2","0","(1.39e+03,1.05e+05]","2"
"83","M","26-35","7","C","4+","1","(1.39e+03,1.05e+05]","2"
"30","M","46-50","11","C","1","1","(1.39e+03,1.05e+05]","1"
"23","F","26-35","1","C","3","0","(1.39e+03,1.05e+05]","1"
"75","M","18-25","4","B","1","0","(1.39e+03,1.05e+05]","2"
"19","M","26-35","16","C","2","1","(1.39e+03,1.05e+05]","1"
"17","M","18-25","4","C","2","0","(1.39e+03,1.05e+05]","1"
"54","M","18-25","4","B","4+","0","(1.39e+03,1.05e+05]","2"
"24","F","18-25","4","C","3","0","(1.39e+03,1.05e+05]","1"
"49","M","18-25","17","B","2","0","(1.39e+03,1.05e+05]","2"
"34","M","36-45","5","C","4+","0","(1.39e+03,1.05e+05]","2"
"435","M","26-35","19","B","3","0","(1.39e+03,1.05e+05]","3"
"226","M","26-35","0","A","4+","0","(1.39e+03,1.05e+05]","3"
"433","M","26-35","2","B","1","0","(1.39e+03,1.05e+05]","3"
"14","M","36-45","7","A","3","0","(1.39e+03,1.05e+05]","1"
"47","M","18-25","4","C","1","0","(1.39e+03,1.05e+05]","2"
"15","M","26-35","12","B","1","0","(1.39e+03,1.05e+05]","1"
"123","M","18-25","0","C","2","0","(1.39e+03,1.05e+05]","2"
"266","M","18-25","4","B","1","0","(1.39e+03,1.05e+05]","3"
"70","M","26-35","12","A","2","0","(1.39e+03,1.05e+05]","2"
"13","F","18-25","4","A","4+","1","(966,1.07e+03]","1"
"114","M","26-35","2","B","3","1","(1.39e+03,1.05e+05]","2"
"29","M","46-50","12","B","2","0","(1.39e+03,1.05e+05]","2"
"19","M","18-25","4","C","2","0","(1.39e+03,1.05e+05]","1"
"15","M","36-45","5","A","4+","1","(1.07e+03,1.18e+03]","1"
"14","M","36-45","7","C","1","1","(1.39e+03,1.05e+05]","1"
"44","M","18-25","5","C","0","1","(1.39e+03,1.05e+05]","2"
"289","M","26-35","19","B","4+","1","(1.39e+03,1.05e+05]","3"
"26","M","26-35","12","B","1","0","(1.39e+03,1.05e+05]","1"
"78","M","51-55","0","B","1","1","(1.39e+03,1.05e+05]","2"
"132","M","26-35","0","C","2","0","(1.39e+03,1.05e+05]","2"
"47","M","18-25","4","C","4+","0","(1.39e+03,1.05e+05]","2"
"70","M","55+","7","C","3","1","(1.39e+03,1.05e+05]","2"
"19","M","0-17","10","C","3","0","(1.39e+03,1.05e+05]","1"
"61","F","18-25","4","B","0","0","(1.39e+03,1.05e+05]","2"
"24","F","26-35","4","C","1","1","(1.39e+03,1.05e+05]","1"
"170","M","55+","16","C","1","0","(1.39e+03,1.05e+05]","3"
"254","M","51-55","16","A","1","1","(1.39e+03,1.05e+05]","3"
"20","M","51-55","14","C","1","1","(1.39e+03,1.05e+05]","1"
"55","M","18-25","4","B","4+","0","(1.39e+03,1.05e+05]","2"
"14","M","36-45","7","B","2","0","(1.07e+03,1.18e+03]","1"
"190","F","18-25","1","B","2","0","(1.39e+03,1.05e+05]","2"
"90","M","26-35","7","A","4+","1","(1.39e+03,1.05e+05]","2"
"33","M","51-55","7","A","2","0","(1.39e+03,1.05e+05]","1"
"35","M","51-55","11","C","0","1","(1.39e+03,1.05e+05]","1"
"28","M","46-50","14","C","4+","1","(1.39e+03,1.05e+05]","1"
"84","M","55+","13","C","1","0","(1.39e+03,1.05e+05]","2"
"77","F","46-50","1","C","1","1","(1.39e+03,1.05e+05]","2"
"18","M","51-55","20","C","2","0","(1.39e+03,1.05e+05]","1"
"95","M","36-45","7","B","2","0","(1.39e+03,1.05e+05]","2"
"40","M","46-50","7","B","3","1","(1.39e+03,1.05e+05]","2"
"178","M","36-45","12","A","2","0","(1.39e+03,1.05e+05]","3"
"16","M","26-35","12","C","1","0","(1.28e+03,1.39e+03]","1"
"79","F","46-50","20","B","2","1","(1.39e+03,1.05e+05]","2"
"51","M","0-17","10","C","2","0","(1.39e+03,1.05e+05]","2"
"148","M","26-35","4","C","1","1","(1.39e+03,1.05e+05]","3"
"529","M","36-45","0","B","3","1","(1.39e+03,1.05e+05]","3"
"27","M","36-45","2","A","4+","1","(1.39e+03,1.05e+05]","1"
"130","M","36-45","16","C","4+","0","(1.39e+03,1.05e+05]","2"
"236","F","51-55","0","B","1","1","(1.39e+03,1.05e+05]","3"
"409","M","46-50","20","B","1","1","(1.39e+03,1.05e+05]","3"
"39","M","51-55","17","B","2","1","(1.39e+03,1.05e+05]","2"
"10","M","26-35","12","C","3","0","(966,1.07e+03]","1"
"63","M","55+","15","C","3","1","(1.39e+03,1.05e+05]","2"
"16","M","36-45","12","C","1","1","(1.39e+03,1.05e+05]","1"
"355","M","18-25","14","B","2","0","(1.39e+03,1.05e+05]","3"
"154","M","46-50","1","C","3","1","(1.39e+03,1.05e+05]","3"
"10","M","26-35","20","C","2","0","(1.07e+03,1.18e+03]","1"
"25","F","36-45","0","B","3","0","(1.39e+03,1.05e+05]","1"
"96","F","36-45","7","B","0","1","(1.39e+03,1.05e+05]","2"
"47","M","36-45","14","C","2","0","(1.39e+03,1.05e+05]","2"
"118","M","55+","13","C","4+","1","(1.39e+03,1.05e+05]","2"
"361","F","51-55","2","A","1","1","(1.39e+03,1.05e+05]","3"
"15","M","26-35","12","C","1","0","(1.28e+03,1.39e+03]","1"
"417","F","46-50","6","A","1","1","(1.39e+03,1.05e+05]","3"
"24","M","55+","12","A","3","1","(1.39e+03,1.05e+05]","1"
"97","M","51-55","7","C","3","1","(1.39e+03,1.05e+05]","2"
"144","M","26-35","19","C","1","0","(1.39e+03,1.05e+05]","3"
"119","M","36-45","0","B","1","0","(1.39e+03,1.05e+05]","2"
"196","M","18-25","1","B","4+","0","(1.39e+03,1.05e+05]","3"
"33","F","36-45","20","A","1","0","(1.39e+03,1.05e+05]","2"
"11","F","26-35","5","C","1","1","(1.07e+03,1.18e+03]","1"
"9","M","36-45","17","C","1","0","(861,966]","1"
"101","M","55+","13","C","3","1","(1.39e+03,1.05e+05]","2"
"33","M","18-25","4","C","2","1","(1.39e+03,1.05e+05]","1"
"28","M","0-17","10","C","0","0","(1.39e+03,1.05e+05]","1"
"16","F","18-25","4","C","0","0","(1.39e+03,1.05e+05]","1"
"549","M","26-35","4","A","1","1","(1.39e+03,1.05e+05]","3"
"13","F","36-45","14","B","2","0","(966,1.07e+03]","1"
"16","M","51-55","13","C","1","0","(1.28e+03,1.39e+03]","1"
"220","M","46-50","7","B","0","0","(1.39e+03,1.05e+05]","3"
"65","M","18-25","10","B","1","0","(1.39e+03,1.05e+05]","2"
"9","F","46-50","6","C","2","1","(651,756]","1"
"25","M","0-17","0","C","1","0","(1.39e+03,1.05e+05]","1"
"339","F","36-45","7","B","1","0","(1.39e+03,1.05e+05]","3"
"44","M","55+","12","C","2","0","(1.39e+03,1.05e+05]","2"
"244","F","26-35","7","B","4+","0","(1.39e+03,1.05e+05]","3"
"35","M","36-45","7","C","2","0","(1.39e+03,1.05e+05]","1"
"159","M","51-55","7","B","1","0","(1.39e+03,1.05e+05]","3"
"370","F","0-17","0","B","1","0","(1.39e+03,1.05e+05]","3"
"9","M","36-45","7","C","1","1","(756,861]","1"
"118","M","0-17","10","B","1","0","(1.39e+03,1.05e+05]","2"
"15","F","0-17","10","A","0","0","(1.07e+03,1.18e+03]","1"
"171","M","26-35","15","A","4+","0","(1.39e+03,1.05e+05]","2"
"58","M","26-35","2","A","1","1","(1.39e+03,1.05e+05]","2"
"48","M","26-35","7","A","4+","0","(1.39e+03,1.05e+05]","2"
"20","M","18-25","19","B","0","0","(1.39e+03,1.05e+05]","1"
"30","M","26-35","17","B","4+","0","(1.39e+03,1.05e+05]","1"
"34","M","0-17","10","B","1","0","(1.39e+03,1.05e+05]","1"
"19","M","36-45","0","C","1","0","(1.39e+03,1.05e+05]","1"
"163","M","26-35","11","C","4+","0","(1.39e+03,1.05e+05]","2"
"94","F","26-35","2","C","1","1","(1.39e+03,1.05e+05]","2"
"125","F","36-45","2","C","3","0","(1.39e+03,1.05e+05]","2"
"34","M","26-35","12","C","2","0","(1.39e+03,1.05e+05]","2"
"898","M","36-45","17","A","1","0","(1.39e+03,1.05e+05]","3"
"31","M","36-45","5","B","1","1","(1.39e+03,1.05e+05]","1"
"370","M","18-25","4","B","0","0","(1.39e+03,1.05e+05]","3"
"40","F","18-25","4","C","1","0","(1.39e+03,1.05e+05]","2"
"39","M","26-35","20","C","3","1","(1.39e+03,1.05e+05]","2"
"48","M","26-35","14","A","1","1","(1.39e+03,1.05e+05]","2"
"69","M","26-35","7","B","4+","1","(1.39e+03,1.05e+05]","2"
"104","M","0-17","10","B","3","0","(1.39e+03,1.05e+05]","2"
"58","M","18-25","17","C","0","0","(1.39e+03,1.05e+05]","2"
"77","M","26-35","12","C","1","0","(1.39e+03,1.05e+05]","2"
"73","F","18-25","4","C","1","0","(1.39e+03,1.05e+05]","2"
"130","M","36-45","1","B","1","1","(1.39e+03,1.05e+05]","2"
"20","F","26-35","2","C","2","0","(1.39e+03,1.05e+05]","1"
"85","M","26-35","16","C","1","0","(1.39e+03,1.05e+05]","2"
"23","M","0-17","19","C","4+","0","(1.39e+03,1.05e+05]","1"
"43","M","36-45","0","C","1","1","(1.39e+03,1.05e+05]","2"
"27","F","18-25","4","C","0","0","(1.39e+03,1.05e+05]","1"
"476","F","26-35","1","B","3","0","(1.39e+03,1.05e+05]","3"
"33","F","51-55","13","C","1","0","(1.39e+03,1.05e+05]","2"
"118","M","46-50","7","B","3","1","(1.39e+03,1.05e+05]","2"
"54","F","51-55","3","C","2","1","(1.39e+03,1.05e+05]","2"
"287","F","18-25","1","B","0","1","(1.39e+03,1.05e+05]","3"
"43","F","51-55","9","C","4+","1","(1.39e+03,1.05e+05]","2"
"15","F","26-35","6","C","1","0","(1.39e+03,1.05e+05]","1"
"35","M","55+","17","C","1","0","(1.39e+03,1.05e+05]","1"
"29","M","26-35","20","C","2","0","(1.39e+03,1.05e+05]","2"
"16","M","51-55","7","B","4+","1","(1.07e+03,1.18e+03]","1"
"266","M","26-35","11","B","2","0","(1.39e+03,1.05e+05]","3"
"302","F","26-35","3","B","4+","0","(1.39e+03,1.05e+05]","3"
"34","M","51-55","13","C","1","0","(1.39e+03,1.05e+05]","2"
"16","F","26-35","14","C","3","0","(1.39e+03,1.05e+05]","1"
"45","M","46-50","17","C","0","1","(1.39e+03,1.05e+05]","2"
"21","M","26-35","1","A","0","0","(1.39e+03,1.05e+05]","1"
"286","M","36-45","17","B","1","0","(1.39e+03,1.05e+05]","3"
"71","M","36-45","5","C","0","1","(1.39e+03,1.05e+05]","2"
"39","M","55+","6","C","2","1","(1.39e+03,1.05e+05]","2"
"94","M","0-17","10","C","4+","0","(1.39e+03,1.05e+05]","2"
"22","M","55+","17","B","4+","0","(1.39e+03,1.05e+05]","1"
"684","M","36-45","7","A","1","0","(1.39e+03,1.05e+05]","3"
"45","M","55+","1","C","2","1","(1.39e+03,1.05e+05]","2"
"94","M","0-17","10","C","4+","0","(1.39e+03,1.05e+05]","2"
"305","M","26-35","14","A","3","0","(1.39e+03,1.05e+05]","3"
"159","M","18-25","10","B","2","1","(1.39e+03,1.05e+05]","3"
"85","M","46-50","12","A","2","1","(1.39e+03,1.05e+05]","2"
"13","M","51-55","13","C","1","1","(1.39e+03,1.05e+05]","1"
"23","M","26-35","17","C","3","0","(1.39e+03,1.05e+05]","1"
"354","F","26-35","1","B","2","0","(1.39e+03,1.05e+05]","3"
